28:cd:c1:06:5f:05: 28:cd:c1:06:4c:bb: 28:cd:c1:06:61:cd: 28:cd:c1:06:5e:fd:
-58 -47 -49 -57
-58 -47 -50 -57
-56 -49 -50 -57
-52 -51 -52 -56
-54 -51 -53 -53
-53 -52 -53 -53
-52 -52 -53 -53
-50 -54 -54 -50
-50 -55 -54 -51
-49 -55 -55 -48
-48 -57 -54 -47
-48 -58 -54 -46
-46 -59 -55 -45
-45 -60 -55 -44
-44 -61 -56 -43
-43 -62 -56 -42
-42 -63 -56 -41
-41 -64 -57 -40
-40 -65 -58 -39
-39 -66 -58 -38
-37 -67 -57 -37
-35 -68 -56 -36
-33 -69 -57 -35
-30 -70 -58 -34
-29 -71 -59 -33
-27 -72 -59 -32
-26 -73 -61 -31
-24 -74 -61 -30
-23 -75 -62 -29
-22 -78 -63 -24
